# wolfy english lexicon v1
# generated	2026-08-22
# source	Princeton WordNet 3.0 — леммы и таблицы исключений (*.exc)
# source	Brown Corpus (NLTK, universal tagset) — частотность и служебные части речи
# note	уровень CEFR выведен из частотности, официальной разметкой не является
# words	77675
# irregular	4377
# top	0
W	a	d	7.3	A1
W	aa	n	2.9	C2
W	aaa	n	2.9	C2
W	aachen	n	0.0	C2
W	aah	v	2.9	C2
W	aalborg	n	0.0	C2
W	aalii	n	0.0	C2
W	aalst	n	0.0	C2
W	aalto	n	0.0	C2
W	aar	n	0.0	C2
W	aardvark	n	0.0	C2
W	aardwolf	n	0.0	C2
W	aare	n	0.0	C2
W	aarhus	n	0.0	C2
W	aaron	n	3.8	B2
W	aarp	n	0.0	C2
W	aas	n	0.0	C2
W	aave	n	0.0	C2
W	ab	n	3.4	C1
W	aba	n	0.0	C2
W	abaca	n	0.0	C2
W	abacinate	v	0.0	C2
W	aback	r	3.2	C1
W	abactinal	a	0.0	C2
W	abacus	n	0.0	C2
W	abadan	n	0.0	C2
W	abaft	r	0.0	C2
W	abalone	n	0.0	C2
W	abamp	n	0.0	C2
W	abampere	n	0.0	C2
W	abandon	nv	4.2	B1
W	abandoned	a	4.3	B1
W	abandonment	n	3.9	B2
W	abarticulation	n	0.0	C2
W	abase	v	0.0	C2
W	abasement	n	3.2	C1
W	abash	v	0.0	C2
W	abashed	a	0.0	C2
W	abashment	n	0.0	C2
W	abasia	n	0.0	C2
W	abasic	a	0.0	C2
W	abatable	a	0.0	C2
W	abate	v	0.0	C2
W	abatement	n	0.0	C2
W	abatic	a	0.0	C2
W	abatis	n	0.0	C2
W	abator	n	0.0	C2
W	abattis	n	0.0	C2
W	abattoir	n	0.0	C2
W	abaxial	a	0.0	C2
W	abaxially	r	0.0	C2
W	abaya	n	0.0	C2
W	abb	n	0.0	C2
W	abbacy	n	0.0	C2
W	abbatial	a	0.0	C2
W	abbe	n	3.4	C1
W	abbess	n	0.0	C2
W	abbey	n	3.8	B2
W	abbot	n	3.2	C1
W	abbreviate	v	0.0	C2
W	abbreviated	a	2.9	C2
W	abbreviation	n	2.9	C2
W	abbreviator	n	0.0	C2
W	abc	n	3.2	C1
W	abcoulomb	n	0.0	C2
W	abcs	n	0.0	C2
W	abdias	n	0.0	C2
W	abdicable	a	0.0	C2
W	abdicate	v	0.0	C2
W	abdication	n	0.0	C2
W	abdicator	n	0.0	C2
W	abdomen	n	3.7	B2
W	abdominal	an	3.5	C1
W	abdominocentesis	n	0.0	C2
W	abdominoplasty	n	0.0	C2
W	abdominous	a	0.0	C2
W	abdominousness	n	0.0	C2
W	abdominovesical	a	0.0	C2
W	abduce	v	0.0	C2
W	abducens	n	0.0	C2
W	abducent	an	0.0	C2
W	abduct	v	0.0	C2
W	abducting	a	0.0	C2
W	abduction	n	2.9	C2
W	abductor	n	0.0	C2
W	abeam	r	0.0	C2
W	abecedarian	an	0.0	C2
W	abecedarius	n	0.0	C2
W	abed	r	2.9	C2
W	abel	n	4.2	B1
W	abelard	n	0.0	C2
W	abele	n	0.0	C2
W	abelia	n	0.0	C2
W	abelmoschus	n	0.0	C2
W	abelmosk	n	0.0	C2
W	abenaki	n	0.0	C2
W	aberdare	n	0.0	C2
W	aberdeen	n	0.0	C2
W	aberdonian	a	0.0	C2
W	aberrance	n	0.0	C2
W	aberrancy	n	0.0	C2
W	aberrant	an	3.6	B2
W	aberrate	v	0.0	C2
